customerNumber,customerName,contactLastName,contactFirstName,gender,phone,addressLine1,addressLine2,city,state,postalCode,country,salesRepEmployeeNumber,creditLimit,LTV
7133,Emily Jimenez,Jimenez,Emily,Female,481.511.7219x3586,543 Alder Dr,Suite 15,Kansas City,MO,64101,United States,2537,2427.61,8124.55
5146,Douglas Brady,Brady,Douglas,Male,(262)464-2596x483,248 Magnolia Ct,,Austin,TX,73301,United States,7450,2213.84,4504.25
9050,April Ramirez,Ramirez,April,Female,001-866-600-5102x424,951 Hickory St,Apt 7,San Jose,CA,95101,United States,5376,4613.91,8516.45
8014,Erik Martinez,Martinez,Erik,Male,828-502-3395,467 Cedar St,,Anaheim,CA,92801,United States,4671,5562.91,1772.24
6167,Sarah Suarez,Suarez,Sarah,Female,(530)328-1154x6438,789 Pine Dr,Unit 5B,Chicago,IL,60601,United States,3508,3130.06,4361.75
8248,Ryan King,King,Ryan,Male,(585)486-9087x72994,456 Alder Ave,,Seattle,WA,98101,United States,8269,6892.18,4968.44
7426,Alyssa Diaz,Diaz,Alyssa,Female,001-217-353-1570x656,987 Juniper Rd,,Boston,MA,2101,United States,8532,1506.49,1474.89
6052,Michael Gill,Gill,Michael,Male,534-535-5059x6999,679 Dogwood Ln,,Indianapolis,IN,46201,United States,5243,2468.35,3054.18
3880,Joseph Ramos,Ramos,Joseph,Male,(201)600-1984x23908,789 Maple Dr,Apt 3B,Denver,CO,80201,United States,6764,5820.1,8817.78
4352,Lisa Gross,Gross,Lisa,Female,+1-800-206-8802x714,467 Sycamore St,Apt 12,San Francisco,CA,94101,United States,1908,3249.04,5646.81
8628,Kristen Shepard,Shepard,Kristen,Female,+1-619-777-5528x7978,654 Redwood St,Unit 8,Colorado Springs,CO,80901,United States,5861,8594.58,7137.14
3390,Bradley Oneal,Oneal,Bradley,Male,325.996.6511,951 Oak St,,Louisville,KY,40201,United States,7165,1556.26,6124.66
1633,Alex Gonzales,Gonzales,Alex,Male,001-796-377-1218x55016,907 Walnut St,,Fort Worth,TX,76101,United States,4009,5031.23,5640.31
7270,Amanda Miller,Miller,Amanda,Female,(411)857-1747x0192,951 Oak St,,Louisville,KY,40201,United States,9823,9251.59,3119.04
8185,Joshua Smith,Smith,Joshua,Male,369-231-5200,321 Cypress Cir,,El Paso,TX,79901,United States,7391,6083.96,9856.45
5635,Russell Greer,Greer,Russell,Male,001-715-301-9207x16672,753 Willow Cir,Suite 10,San Diego,CA,92101,United States,4085,3590.37,8208.2
8966,Kelly Richardson,Richardson,Kelly,Female,(406)457-4260x3994,753 Willow Cir,Suite 10,San Diego,CA,92101,United States,6770,3514.11,6032.0
2281,Walter Ramirez,Ramirez,Walter,Male,(445)570-5240x021,123 Maple St,Apt 2,New York,NY,10001,United States,5319,4335.94,3651.94
6305,Lonnie Kennedy,Kennedy,Lonnie,Male,637-879-7440,159 Sycamore Ln,,Wichita,KS,67201,United States,7949,2274.84,2725.27
8070,Terry Hancock,Hancock,Terry,Male,2154203408,789 Pine Cir,,Raleigh,NC,27601,United States,5569,6971.65,2963.95
4259,Joshua Daniel,Daniel,Joshua,Male,325-822-7665x53572,753 Willow Cir,Suite 10,San Diego,CA,92101,United States,2967,1690.02,4214.86
3439,Danielle Ward,Ward,Danielle,Female,859-486-7567,321 Birch Blvd,,Houston,TX,77001,United States,3886,4252.93,6563.64
1297,Kevin Guerrero,Guerrero,Kevin,Male,+1-226-584-0961x67972,852 Cedar Ave,,Las Vegas,NV,89101,United States,4519,2157.93,8722.79
5481,Brian Ward,Ward,Brian,Male,998.834.3421x219,248 Birch Blvd,,Arlington,TX,76001,United States,1881,5366.22,1148.86
2970,Holly Jones,Jones,Holly,Female,346.468.8881x125,890 Poplar Ave,Suite 20,Columbus,OH,43085,United States,1341,9697.6,6298.03
8861,Paul Oneal,Oneal,Paul,Male,914.876.9332x399,987 Dogwood Rd,,Minneapolis,MN,55401,United States,3908,3408.28,1250.64
8888,Dwayne Carson,Carson,Dwayne,Male,+1-206-982-7393x6985,321 Spruce Dr,,Omaha,NE,68101,United States,4117,9510.35,2072.57
5780,Sierra Gray,Gray,Sierra,Female,8827748349,753 Birch Cir,Suite 4,Portland,OR,97201,United States,5090,5230.85,8584.64
4475,Brian Hawkins,Hawkins,Brian,Male,5405602872,134 Pine Dr,,Milwaukee,WI,53201,United States,7822,8519.69,9704.62
3983,Kenneth Quinn,Quinn,Kenneth,Male,276-521-3410x288,789 Pine Cir,,Raleigh,NC,27601,United States,6127,8103.48,9247.74
2261,Vincent Johnson,Johnson,Vincent,Male,(886)214-8893,852 Maple Ave,,Cleveland,OH,44101,United States,8293,6417.22,1350.34
4788,Anthony Walters,Walters,Anthony,Male,(419)310-7101x88204,456 Maple Ave,Apt 9B,Miami,FL,33101,United States,1833,6481.91,3597.7
4037,Latoya Alvarez,Alvarez,Latoya,Female,479-794-7722,134 Pine Ave,Suite 12,Bakersfield,CA,93301,United States,6552,6996.12,9710.54
7831,Toni Price,Price,Toni,Female,270-844-9113x3513,789 Maple Dr,Apt 3B,Denver,CO,80201,United States,3450,5967.93,3745.38
6354,Gregory Miles,Miles,Gregory,Male,2644789241,123 Maple St,Apt 2,New York,NY,10001,United States,2692,6049.59,7913.47
6968,Christopher Bryan,Bryan,Christopher,Male,+1-334-532-9237,134 Pine Ave,Suite 12,Bakersfield,CA,93301,United States,7052,3678.41,2540.01
5458,Mary Chase,Chase,Mary,Female,962-752-1052x0207,951 Oak St,,Louisville,KY,40201,United States,6133,6781.65,7421.67
1695,Brandon Harmon,Harmon,Brandon,Male,+1-703-831-9078x7561,987 Dogwood Rd,,Minneapolis,MN,55401,United States,9605,1555.62,4695.27
9141,Anthony Taylor,Taylor,Anthony,Male,770-695-6858,951 Hickory St,Apt 7,San Jose,CA,95101,United States,7255,4836.12,8450.1
5750,Jeffery Ramirez,Ramirez,Jeffery,Male,594-557-2046,951 Oak St,Apt 7A,Tampa,FL,33601,United States,9468,6409.64,5572.42
1450,Tracy Knight,Knight,Tracy,Female,001-273-559-7311,456 Maple Ave,Apt 9B,Miami,FL,33101,United States,2709,3310.96,8847.94
7427,Meredith Pena,Pena,Meredith,Female,001-570-723-9704x041,321 Cypress Cir,,El Paso,TX,79901,United States,5551,9878.12,7429.99
2998,Daniel Perez,Perez,Daniel,Male,613.638.3458x759,951 Hickory St,Apt 7,San Jose,CA,95101,United States,6566,5997.05,8455.45
3362,Tracy Miller,Miller,Tracy,Female,001-968-841-5034x96061,321 Spruce Dr,,Omaha,NE,68101,United States,2180,4832.8,6570.45
9695,Rachael Shelton,Shelton,Rachael,Female,4389367354,123 Maple St,Apt 2,New York,NY,10001,United States,1151,4175.82,8090.74
5584,Ronald Pham,Pham,Ronald,Male,487-651-9445x30234,543 Beech Dr,Unit 6A,Charlotte,NC,28201,United States,8362,2947.37,5218.96
4114,David Knight,Knight,David,Male,+1-579-249-6168,679 Redwood Ln,Unit 2C,Tucson,AZ,85701,United States,7217,9598.59,5903.43
9357,Jerry Ortiz,Ortiz,Jerry,Male,580.825.5009,679 Dogwood Ln,,Indianapolis,IN,46201,United States,2368,9725.35,1037.55
5445,Justin Reeves,Reeves,Justin,Male,(326)512-8565,654 Fir St,,Nashville,TN,37201,United States,1879,9043.22,8880.48
4134,Ryan Rice,Rice,Ryan,Male,(635)381-5611,467 Spruce St,Apt 5,Albuquerque,NM,87101,United States,5813,5404.41,1840.19
3811,Kaitlin Hawkins,Hawkins,Kaitlin,Female,589-965-9213x461,852 Cedar Ave,,Las Vegas,NV,89101,United States,9340,3187.37,7989.01
4241,Mark Warner,Warner,Mark,Male,(269)329-4242,248 Birch Blvd,,Arlington,TX,76001,United States,2323,1533.77,2784.33
2513,Monica Blanchard,Blanchard,Monica,Female,825.382.4432,951 Hickory St,Apt 7,San Jose,CA,95101,United States,6084,6009.5,1808.49
2088,Victoria Chung,Chung,Victoria,Female,668-460-4479,159 Sycamore Ln,,Wichita,KS,67201,United States,4228,7671.4,3855.37
7196,Kellie Mcbride,Mcbride,Kellie,Female,716.407.2850x8848,159 Spruce Ln,,San Antonio,TX,78201,United States,6319,1885.57,8669.76
9544,Jessica Rice,Rice,Jessica,Female,+1-311-996-4576x0026,456 Maple Ave,Apt 9B,Miami,FL,33101,United States,9568,5423.93,1019.27
5196,Andres Reynolds,Reynolds,Andres,Male,001-947-764-0725x0808,543 Alder Dr,Suite 15,Kansas City,MO,64101,United States,2146,8406.97,1004.12
1925,John Cortez,Cortez,John,Male,+1-328-471-2438x7845,248 Birch Blvd,,Arlington,TX,76001,United States,2081,2239.47,8117.72
2474,Sonya James,James,Sonya,Female,855.579.9624x90585,456 Alder Ave,,Seattle,WA,98101,United States,3997,8594.01,6187.86
9063,James Smith,Smith,James,Male,+1-680-988-3878x1902,951 Oak St,,Louisville,KY,40201,United States,6509,1480.24,4138.59
9122,Toni Perez,Perez,Toni,Female,(597)399-1105,890 Poplar Ave,Suite 20,Columbus,OH,43085,United States,3509,6452.41,9460.9
8623,Emma Moon,Moon,Emma,Female,+1-373-282-7042,753 Chestnut Cir,,New Orleans,LA,70112,United States,2970,4796.93,8238.02
1264,Beth Davila,Davila,Beth,Female,(212)252-0227,321 Birch Blvd,,Houston,TX,77001,United States,8778,5566.47,7123.18
6676,John Adams,Adams,John,Male,(332)463-3906x475,134 Redwood Dr,,Jacksonville,FL,32201,United States,5240,8566.58,8631.88
8113,Roger Anderson,Anderson,Roger,Male,388.377.0563x11566,248 Maple Ct,,Baltimore,MD,21201,United States,8144,3181.0,9539.97
3879,Carlos Willis,Willis,Carlos,Male,496.640.0281,987 Dogwood Rd,,Minneapolis,MN,55401,United States,4995,4143.21,1698.61
7167,Karen Carter,Carter,Karen,Female,(708)880-8669x02115,753 Birch Cir,Suite 4,Portland,OR,97201,United States,7499,2010.41,3744.45
4962,Larry Cooper,Cooper,Larry,Male,+1-592-664-8752x69931,852 Cedar Ave,,Las Vegas,NV,89101,United States,9614,3178.36,8651.59
1648,Timothy Smith,Smith,Timothy,Male,+1-915-997-5834x23206,753 Chestnut Cir,,New Orleans,LA,70112,United States,1974,6411.77,2778.11
3976,John Simmons,Simmons,John,Male,001-375-492-5368x75557,456 Oak Ave,Suite 300,Los Angeles,CA,90001,United States,8223,4996.32,4081.25
4488,Shannon Johnson,Johnson,Shannon,Female,(948)475-0761x701,248 Birch Blvd,,Arlington,TX,76001,United States,8180,6171.41,4797.89
3123,Steven Davis,Davis,Steven,Male,+1-961-758-5639x8700,543 Beech Dr,Unit 6A,Charlotte,NC,28201,United States,7538,1290.05,1650.66
7189,William Cox,Cox,William,Male,(895)782-0076x46718,789 Maple Dr,Apt 3B,Denver,CO,80201,United States,6270,7904.8,8684.68
2268,Beverly Chandler,Chandler,Beverly,Female,001-546-250-6820,248 Maple Ct,,Baltimore,MD,21201,United States,6412,5392.64,3232.77
3677,Courtney Mora,Mora,Courtney,Female,5288806310,467 Spruce St,Apt 5,Albuquerque,NM,87101,United States,6798,2266.99,9094.26
4159,Jaclyn Daniel,Daniel,Jaclyn,Female,001-992-853-7643x845,321 Spruce Dr,,Omaha,NE,68101,United States,2538,1933.05,2102.58
2182,Lauren Welch,Welch,Lauren,Female,672-369-4765,159 Sycamore Ln,,Wichita,KS,67201,United States,3282,2624.49,5775.19
7164,Nicholas Dunn,Dunn,Nicholas,Male,+1-210-530-3014x370,456 Maple Ave,Apt 9B,Miami,FL,33101,United States,6649,4058.65,3803.62
8421,Carlos Martin,Martin,Carlos,Male,778.994.2053x3663,852 Cedar Ave,,Las Vegas,NV,89101,United States,3185,8585.17,6369.17
1022,Randall Scott,Scott,Randall,Male,(889)974-0798,123 Chestnut St,,Detroit,MI,48201,United States,4843,1898.31,4181.45
5434,Nathaniel Morales,Morales,Nathaniel,Male,+1-705-681-4918x013,951 Oak St,,Louisville,KY,40201,United States,7767,1178.52,4665.62
4785,Kathleen Clark,Clark,Kathleen,Female,001-223-227-3501x850,321 Spruce Dr,,Omaha,NE,68101,United States,7988,4898.75,5004.2
6928,Michele Chavez,Chavez,Michele,Female,404-505-7115x4574,123 Maple St,Apt 2,New York,NY,10001,United States,1932,1769.58,7176.74
3841,Jeffrey Cooper,Cooper,Jeffrey,Male,(920)757-3262x592,890 Chestnut Ave,,Fresno,CA,93701,United States,4426,1480.28,6992.59
7071,Debra Tucker,Tucker,Debra,Female,001-503-476-7086,753 Willow Cir,Suite 10,San Diego,CA,92101,United States,3601,8274.47,4963.96
8031,Sarah Hale,Hale,Sarah,Female,635-722-2084x2172,789 Maple Dr,Apt 3B,Denver,CO,80201,United States,4619,7066.55,5905.21
7119,James White,White,James,Male,001-688-449-4514x244,654 Elm St,Apt 4C,Phoenix,AZ,85001,United States,7815,7895.98,1929.19
9394,Beth Sullivan,Sullivan,Beth,Female,+1-966-923-5252x8812,467 Sycamore St,Apt 12,San Francisco,CA,94101,United States,7002,7357.33,5028.29
5879,Timothy Taylor,Taylor,Timothy,Male,7165992662,467 Spruce St,Apt 5,Albuquerque,NM,87101,United States,4300,9960.79,4672.07
1048,Tara Duran,Duran,Tara,Female,8663551190,654 Redwood St,Unit 8,Colorado Springs,CO,80901,United States,6205,7792.57,9159.29
9548,Emily Lee,Lee,Emily,Female,810.568.5469x528,456 Oak Ave,Suite 300,Los Angeles,CA,90001,United States,4558,9614.54,5975.35
3953,Stacy Davis,Davis,Stacy,Female,796-496-4531x81956,123 Cedar St,,Atlanta,GA,30301,United States,2783,5839.9,7019.47
6319,Michael Stevenson,Stevenson,Michael,Male,237-277-8483x5826,679 Dogwood Ln,,Indianapolis,IN,46201,United States,9023,4866.13,6588.39
4142,Tara Buchanan,Buchanan,Tara,Female,442.739.0521x9226,852 Palm Ave,,Dallas,TX,75201,United States,7711,8296.22,1885.3
4902,James Sullivan,Sullivan,James,Male,336-657-3325,321 Spruce Dr,,Omaha,NE,68101,United States,3721,4944.83,4977.92
9970,Melissa Martinez,Martinez,Melissa,Female,001-828-626-3871x690,248 Magnolia Ct,,Austin,TX,73301,United States,8130,7025.28,7601.06
2537,Jessica Rose,Rose,Jessica,Female,(282)781-9196,321 Birch Blvd,,Houston,TX,77001,United States,1912,4841.96,1811.78
8323,Lynn Anderson,Anderson,Lynn,Female,216.950.3425,543 Beech Dr,Unit 6A,Charlotte,NC,28201,United States,5380,6401.59,8218.52
6500,Jennifer Perry,Perry,Jennifer,Female,582-992-4649,456 Alder Ave,,Seattle,WA,98101,United States,4823,6086.25,4369.47
3262,Robert Hawkins,Hawkins,Robert,Male,001-990-902-5536,467 Spruce St,Apt 5,Albuquerque,NM,87101,United States,3763,4873.13,2268.35
5280,Nicole James,James,Nicole,Female,999.888.6554,321 Cypress Cir,,El Paso,TX,79901,United States,6607,6608.55,7875.43
9003,Meagan Ryan,Ryan,Meagan,Female,6252700404,248 Birch Blvd,,Arlington,TX,76001,United States,8460,8758.28,9257.13
4919,Kyle Shepard,Shepard,Kyle,Male,700-873-3599,789 Pine Cir,,Raleigh,NC,27601,United States,8884,6814.49,2656.57
5840,Devin Simmons,Simmons,Devin,Male,648.348.7152x816,159 Willow Ln,,Memphis,TN,38101,United States,4020,3006.89,1050.14
7018,Kevin Luna,Luna,Kevin,Male,7802756443,789 Maple Dr,Apt 3B,Denver,CO,80201,United States,4826,3536.89,4482.11
2002,Michael Martinez,Martinez,Michael,Male,+1-839-408-9987x94428,951 Oak St,,Louisville,KY,40201,United States,5568,9733.75,9585.07
