salesman_id,name,region,sales_target,sales_achieved,description,customer_id,commission_rate,hire_date,manager_id,phone
salesman_0265,Rebecca Baldwin,West Marie,33403,9961,Apply five expert offer rock window it measure today political deal free.,customer_8924,8,2024-09-18,manager_6310,8693709430x5913
salesman_4987,Leah Patrick,East Coryfort,8153,36563,School manager arrive city everyone project foreign and southern trouble deep.,customer_3765,11,2022-06-25,manager_5971,8752320405
salesman_7546,John Montgomery,Adamsville,28189,42022,Reason weight various officer might million language difference provide hour dark grow.,customer_8284,12,2020-11-13,manager_1878,5673342295x9660
salesman_7747,James Gill,Kathleenview,7690,25964,Audience production no area step mention step few consumer employee bank method around.,customer_9450,1,2021-12-20,manager_1392,5147323181
salesman_4197,Adam Owens,New Jason,24258,17982,Cut drug avoid weight morning agree reason apply environmental task of.,customer_2805,19,2021-12-07,manager_3563,0019592798357
salesman_7557,Keith Cochran,North Ryanberg,33279,20025,Test if something seem these affect behind practice strategy.,customer_3870,3,2024-04-30,manager_4437,313.429.5805x35489
salesman_3560,Anthony Chen,East Aprilbury,30328,37093,Support head building section recently economic state doctor hear.,customer_6796,19,2024-01-17,manager_4932,4405250002x63353
salesman_5500,Jill Bishop,Port Kristinaborough,48310,37253,Want yes task simply energy size.,customer_9513,16,2023-12-22,manager_5439,944.899.9789x966
salesman_8832,Elizabeth Hamilton,East Daniel,14077,2945,Buy toward me respond else leave recognize explain travel decide population.,customer_3421,3,2024-11-29,manager_8015,288.807.7988x396
salesman_3581,William Gutierrez,New Paula,10282,27769,Room if time field carry though out later dark.,customer_6574,10,2023-10-02,manager_1724,+18495613727x7880
salesman_5970,Kristin Oliver,West Cindy,1983,6233,Make statement else soon best floor.,customer_0884,18,2024-01-09,manager_4424,9634764398x7046
salesman_0421,Carlos Johnson,East Teresa,30262,38641,Here leader across than effect watch future.,customer_3624,14,2023-06-28,manager_5262,0015557680700x590
salesman_0467,Michael Chaney,East Audrey,10593,30108,Region mission certain center reach page explain own suggest fight almost.,customer_9061,15,2020-01-28,manager_7966,0018999531753x04017
salesman_6841,Richard Smith,West Thomasville,33327,34792,All strategy left born town population tend conference art thus wife sing.,customer_1462,2,2023-08-14,manager_0851,9597656686
salesman_6101,Jacob Bell,Michellehaven,7575,29452,Democrat medical later nothing consider new suddenly ground similar often draw.,customer_4766,1,2021-06-08,manager_5705,9724214819x1538
salesman_2365,Margaret Rodriguez,Curtistown,36298,44692,Detail she investment smile you subject owner always occur director TV.,customer_2260,12,2020-04-04,manager_9310,7558546303x33645
salesman_4233,Jonathan Stanley,West Christopher,18316,43213,Common song be including yeah reason eye country course so reach may.,customer_1591,20,2022-05-19,manager_3196,906.448.9134x908
salesman_5431,Cathy Lawrence,Port Steven,44999,41794,Test still billion check mention maybe dark success hospital actually majority.,customer_5800,14,2022-07-25,manager_4143,629.293.1586
salesman_4050,Megan Hansen,Daleport,44929,27959,While seek pretty along reality game stay more service report late floor concern.,customer_6502,18,2020-12-12,manager_8463,+15415348770x44622
salesman_5142,Richard Hill,Christopherborough,46845,27676,Contain owner car chance financial development skill.,customer_6837,16,2022-01-29,manager_8804,0019224136684x2642
salesman_0710,Monica Thompson,Leblancville,25050,8864,Fly particular prevent four box born money per allow.,customer_7065,13,2022-05-02,manager_4716,5245226616
salesman_1433,Jerry Wolfe,Williammouth,5564,611,Color pull move economic first any modern line music.,customer_3066,8,2022-02-11,manager_6313,9872916038x8386
salesman_9082,Kimberly Johnson,Foxside,28442,15344,Final great all drop those same consider.,customer_9936,14,2022-03-12,manager_9228,0015885033844x5441
salesman_5819,Joshua Kelly,Wrightstad,20195,16408,Similar civil of fill task carry true.,customer_1327,13,2023-11-02,manager_4026,8737209852
salesman_9720,Cindy Lee,South Jasonside,45282,852,Kind claim change run sea four bad early out amount together.,customer_4727,4,2023-07-24,manager_0064,518.521.0584
salesman_2336,Michael Keller,Derekfurt,47779,41230,Eye accept same energy record us year easy threat drug.,customer_1311,17,2021-08-09,manager_0134,0017899288956x716
salesman_9214,Sarah Haas,Lauraland,25905,26483,Positive friend agreement either feel claim almost data study natural according responsibility.,customer_8536,18,2020-08-05,manager_7643,4404293709
salesman_5843,Justin Wright,East Robertburgh,46365,20120,Article south history week program where analysis figure.,customer_4283,20,2020-07-05,manager_6299,4955853897
salesman_9775,Jeremy Taylor,Watsonton,12520,18653,Line candidate yard analysis no particular cell challenge stay.,customer_6881,7,2022-10-28,manager_5950,463.426.7843
salesman_5517,Caroline Ramos,Lisaville,26486,41135,Upon finally table institution guess store responsibility wait beat hit protect.,customer_8081,2,2020-11-07,manager_3467,891.414.2310
salesman_4356,Christopher Sanchez,Lake Kathleen,49117,1865,Million military raise hear black behind try other order.,customer_5844,18,2021-12-15,manager_9977,4609566477
salesman_0282,Carlos Castillo,North Charlesberg,28656,47320,Sign choice fact safe law majority center prove staff officer term old.,customer_7137,6,2021-05-18,manager_6036,+19319965697x268
salesman_6964,Kayla Jenkins,New Rhonda,42120,45713,Draw raise option state dream appear change must without get sport.,customer_3957,13,2022-07-06,manager_1100,7507370167
salesman_7503,Alexander Kramer,Shellyport,17683,47644,Give TV old a every something debate lot prove account voice meet.,customer_5749,1,2022-02-01,manager_9696,645.344.2231x67068
salesman_8734,Matthew Roberts,Andrewland,42076,18939,Letter response likely baby start south bring analysis often million consider loss.,customer_6034,1,2022-05-04,manager_1748,+19998007381x02767
salesman_9766,Robert Collier,New Paige,27910,49578,Institution reveal be card general policy actually tell especially pattern town site easy.,customer_8605,3,2023-12-18,manager_9231,3353010319x9107
salesman_6799,Brian Morgan,Sanchezshire,39834,19698,Tax cause read reason pattern common imagine truth item.,customer_3048,16,2024-12-28,manager_7377,5689533787
salesman_0271,Stephanie Brown,New Timothy,2343,29346,Impact affect skin value TV race same thought others indicate happy.,customer_6141,3,2024-09-13,manager_2576,0016783357691
salesman_2397,Kathryn Evans,Jeffreyview,20979,42826,Blue guess answer least series news week.,customer_3093,15,2021-04-30,manager_6275,9705161155
salesman_2541,William Garner,Roblesborough,39182,11026,Suffer training clear medical not cell page human.,customer_7517,4,2020-11-30,manager_8839,3359943993x5808
salesman_4113,Susan Walker,Osbornport,13575,40405,Police available thank material woman week.,customer_8654,2,2022-09-14,manager_9949,0015049040219x7673
salesman_2720,Amy Rivera,Sweeneybury,17416,1224,Police usually idea able evidence glass very agreement figure look job.,customer_7710,4,2021-08-25,manager_1372,5613982047x74560
salesman_8876,Kyle Anderson,South Catherine,3923,40213,Always somebody truth single throw and medical necessary.,customer_1461,3,2024-09-01,manager_1017,6172913094
salesman_8261,Greg Elliott,Ronaldbury,15768,16214,Book door range fall process music position look this.,customer_2626,16,2020-03-22,manager_0225,+15939312632x194
salesman_0604,Michael Jones PhD,West Leahhaven,26348,391,Animal difficult officer along modern describe team down woman growth security team.,customer_7467,2,2023-10-28,manager_9298,6435026430x230
salesman_0476,Melissa Coleman,Shawnberg,9788,20149,Street production they laugh medical sister mother community community suffer.,customer_2528,16,2021-05-26,manager_1407,3983233296x314
salesman_8239,Deborah Davila,New Matthewland,1351,28740,Apply effort stock one me team watch firm once.,customer_4665,17,2023-02-14,manager_9181,3678830618x36400
salesman_0095,Rebecca Rodriguez,Port Dawnfurt,34911,38050,Husband name hospital deal another pass.,customer_1686,20,2020-10-03,manager_0478,429.225.5855x1186
salesman_2292,Timothy Hart MD,Christinemouth,1292,37822,Among travel future allow serve degree radio.,customer_8337,4,2021-02-14,manager_2767,2582750020x0757
salesman_7695,Amanda Bell,Saraview,28417,18329,Six well consider maintain argue significant.,customer_3350,20,2024-06-29,manager_2688,9147625554
salesman_2203,Alexandra Johnson,North Alexis,8975,1646,Smile cost state blood main such community.,customer_9338,19,2021-04-10,manager_9852,2316475925x08598
salesman_9745,Jonathan Davis,North Jimmy,13040,11504,Ability protect dream peace agent life maybe way sign big week.,customer_1261,9,2024-03-21,manager_5719,+19234308765x37291
salesman_6662,Robert Mcpherson,Brooksmouth,8595,48150,Strong your cell day over rich certain hotel their.,customer_2854,11,2020-04-22,manager_1343,966.956.0864x442
salesman_2700,Carmen Cunningham,Garciaview,19049,7440,Anyone bed summer move trouble know adult much purpose ball arrive remain.,customer_5009,7,2021-07-20,manager_0630,5909497283
salesman_8514,Johnny Berry,Lake James,45883,39914,Nation part thousand responsibility fill pattern hope wall.,customer_4181,5,2020-07-05,manager_6987,7919237460
salesman_3895,Sarah Roach,Coffeyland,5967,7008,Entire team kind lead president might age walk.,customer_0415,15,2022-01-22,manager_4592,+17125443347x0280
salesman_9662,Steven Howe,North Jeremybury,20710,23027,Car like rest teach seek number notice.,customer_6171,10,2021-10-30,manager_8872,874.565.1231x475
salesman_5108,Henry Cain,South Daniellebury,7059,26177,Bring such senior feeling poor ask provide think kind sing community.,customer_7341,9,2022-06-29,manager_3200,3358041613
salesman_5530,Vanessa Mcdonald,West Julie,34576,46594,Others man southern unit scene strategy fire community race just wear grow stock.,customer_3116,13,2024-01-14,manager_1944,7626062030
salesman_3821,John Kirby,Porterberg,3673,22457,Risk camera husband need scientist program painting ever.,customer_6525,4,2020-03-01,manager_9000,+18039334088x9124
salesman_5217,Thomas Scott,West Laura,3227,4899,His teach home bill support growth.,customer_0174,10,2020-08-10,manager_4938,+18483534202x86365
salesman_3140,Lisa Lawrence,Stevenfort,8599,5931,Become should require could figure whose where hand open sit development work.,customer_4743,20,2020-10-02,manager_0929,6778247686
salesman_5067,Megan Wells,New Jasonview,10626,49518,Lead box result firm tonight fight heavy laugh on from make seem trip.,customer_3474,16,2020-10-15,manager_8218,555.527.5777x7984
salesman_0505,Scott Morrow,Harrismouth,24199,28334,Group tax them social democratic woman grow less.,customer_1276,2,2023-05-11,manager_3353,6762970433x003
salesman_4555,David Holmes,Brandonchester,19581,16252,Before forward father food reach can share doctor member you nature.,customer_6474,9,2020-02-23,manager_9742,+14176404633
